state_id,state_id,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,age_65+,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!AGE!!5 to 9 years,Estimate!!Male!!Total population!!AGE!!10 to 14 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!AGE!!35 to 39 years,Estimate!!Male!!Total population!!AGE!!40 to 44 years,Estimate!!Male!!Total population!!AGE!!45 to 49 years,Estimate!!Male!!Total population!!AGE!!50 to 54 years,Estimate!!Male!!Total population!!AGE!!55 to 59 years,Estimate!!Male!!Total population!!AGE!!60 to 64 years,Estimate!!Male!!Total population!!AGE!!65 to 69 years,Estimate!!Male!!Total population!!AGE!!70 to 74 years,Estimate!!Male!!Total population!!AGE!!75 to 79 years,Estimate!!Male!!Total population!!AGE!!80 to 84 years,Estimate!!Male!!Total population!!AGE!!85 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!AGE!!5 to 9 years,Estimate!!Female!!Total population!!AGE!!10 to 14 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!AGE!!35 to 39 years,Estimate!!Female!!Total population!!AGE!!40 to 44 years,Estimate!!Female!!Total population!!AGE!!45 to 49 years,Estimate!!Female!!Total population!!AGE!!50 to 54 years,Estimate!!Female!!Total population!!AGE!!55 to 59 years,Estimate!!Female!!Total population!!AGE!!60 to 64 years,Estimate!!Female!!Total population!!AGE!!65 to 69 years,Estimate!!Female!!Total population!!AGE!!70 to 74 years,Estimate!!Female!!Total population!!AGE!!75 to 79 years,Estimate!!Female!!Total population!!AGE!!80 to 84 years,Estimate!!Female!!Total population!!AGE!!85 years and over
0400000US01,1,Alabama,4903185,286597,294475,317645,326671,317739,325338,312065,307138,298601,305229,304162,321296,331917,274325,231232,156756,107315,84684,854312,39,94,2369611,145128,148829,166244,164949,158255,162250,154389,156135,137487,147542,145827,148502,161031,126212,106285,69081,43194,28271,2533574,141469,145646,151401,161722,159484,163088,157676,151003,161114,157687,158335,172794,170886,148113,124947,87675,64121,56413
0400000US02,2,Alaska,731545,50891,52692,49737,46531,47636,60357,57621,49093,43942,42772,44915,48858,45912,35953,25705,14030,8235,6665,90588,35,108,380433,24910,28292,25256,25866,27443,31790,30493,25395,21858,22182,23796,25587,22772,19013,12902,6114,4165,2599,351112,25981,24400,24481,20665,20193,28567,27128,23698,22084,20590,21119,23271,23140,16940,12803,7916,4070,4066
0400000US04,4,Arizona,7278717,427707,445512,486413,483546,490999,524185,477409,457525,441008,433492,419589,445006,439085,399593,352238,257211,167394,130805,1307241,38,99,3620935,218809,222249,253771,248238,254402,271919,248177,234308,221227,214259,209415,213300,209374,185681,164535,121384,76719,53168,3657782,208898,223263,232642,235308,236597,252266,229232,223217,219781,219233,210174,231706,229711,213912,187703,135827,90675,77637
0400000US05,5,Arkansas,3017804,183327,192289,202376,205446,197910,200273,186329,190582,186602,183391,178993,192477,193572,164385,139037,99719,62524,58572,524237,39,96,1474705,91096,97960,104390,104991,100751,100712,90899,93082,93698,90903,88347,95757,90114,77317,62866,47817,24834,19171,1543099,92231,94329,97986,100455,97159,99561,95430,97500,92904,92488,90646,96720,103458,87068,76171,51902,37690,39401
0400000US06,6,California,39512223,2377839,2380762,2629510,2547449,2638791,3085132,2950920,2764917,2533994,2512971,2461846,2461936,2331158,1868922,1522934,1022127,703715,717300,5834998,37,99,19640794,1215418,1209648,1350641,1295491,1360772,1596197,1520141,1412165,1270506,1248279,1228836,1210219,1122638,881663,695971,460424,294548,267237,19871429,1162421,1171114,1278869,1251958,1278019,1488935,1430779,1352752,1263488,1264692,1233010,1251717,1208520,987259,826963,561703,409167,450063
0400000US08,8,Colorado,5758736,327302,344202,366422,365529,380338,459622,448005,432098,373208,365341,339451,357955,353885,294456,230513,143127,88708,88574,845378,37,102,2904955,167191,174961,190401,190236,199410,240214,235003,222344,191986,187535,169918,175940,173304,140391,109659,64661,38313,33488,2853781,160111,169241,176021,175293,180928,219408,213002,209754,181222,177806,169533,182015,180581,154065,120854,78466,50395,55086
0400000US09,9,Connecticut,3565287,180598,193466,216194,238670,239939,222301,222208,216558,210409,228325,252240,258972,256375,197996,154563,111273,76677,88523,629032,41,96,1743777,93068,97556,111917,122297,123668,114817,112389,105144,106197,109763,121294,127314,122726,93915,70638,49815,30580,30679,1821510,87530,95910,104277,116373,116271,107484,109819,111414,104212,118562,130946,131658,133649,104081,83925,61458,46097,57844
0400000US10,10,Delaware,973764,54261,54150,59911,60766,57365,65209,63203,56028,57676,58271,60399,66092,70795,59838,53009,35476,22515,18800,189638,41,93,470288,27270,28046,29794,30828,28614,33345,31206,28520,27030,28642,28079,32138,31608,27383,24499,17001,9271,7014,503476,26991,26104,30117,29938,28751,31864,31997,27508,30646,29629,32320,33954,39187,32455,28510,18475,13244,11786
0400000US11,11,DC,705749,45263,35558,31821,37751,50211,82476,81899,61184,47721,38495,35998,37365,32470,30878,19709,14983,10656,11311,87537,34,90,334355,23038,18151,15902,17128,23184,38139,39218,30309,23191,19190,17841,18436,14577,13914,7979,7020,3665,3473,371394,22225,17407,15919,20623,27027,44337,42681,30875,24530,19305,18157,18929,17893,16964,11730,7963,6991,7838
0400000US12,12,Florida,21477737,1131148,1123648,1258247,1213809,1266383,1396238,1371822,1340665,1271585,1344652,1363582,1475419,1422341,1311397,1151686,887311,586739,561065,4498198,42,96,10498005,579220,567960,651302,616721,646966,710125,697800,678995,620639,661295,665060,702713,671834,603269,533279,415751,258133,216943,10979732,551928,555688,606945,597088,619417,686113,674022,661670,650946,683357,698522,772706,750507,708128,618407,471560,328606,344122
0400000US13,13,Georgia,10617423,639713,678013,758925,746150,714400,750041,708555,713413,688521,705423,691591,685356,614130,521959,411763,277818,167072,144580,1523192,37,95,5170126,331929,346749,388814,383307,366542,374776,344594,341851,336067,339409,336595,328928,288167,237838,184363,123124,65568,51505,5447297,307784,331264,370111,362843,347858,375265,363961,371562,352454,366014,354996,356428,325963,284121,227400,154694,101504,93075
0400000US15,15,Hawaii,1415872,85335,84466,82606,77697,89100,100380,95401,101412,83721,83229,84950,87409,90696,85187,68051,49696,28868,37668,269470,40,100,707855,43752,42919,42690,41298,48619,52679,50160,49136,42971,41774,42564,44139,43417,41229,32399,22216,12854,13039,708017,41583,41547,39916,36399,40481,47701,45241,52276,40750,41455,42386,43270,47279,43958,35652,27480,16014,24629
